"","state","stateabb","year","rec","med","dec","ill","recballot","recint","medint","medyear","recyear","medyrs"
"1505","New Mexico","NM",2020,0,1,1,0,0,0,0,2007,2021,13
"1506","New Mexico","NM",2010,0,1,0,0,0,0,0,2007,2021,3
"1507","New Mexico","NM",1975,0,0,0,1,0,0,0,2007,2021,-32
"1508","New Mexico","NM",2007,0,1,0,0,0,0,1,2007,2021,0
"1509","New Mexico","NM",2008,0,1,0,0,0,0,0,2007,2021,1
"1510","New Mexico","NM",2006,0,0,0,1,0,0,0,2007,2021,-1
"1511","New Mexico","NM",1987,0,0,0,1,0,0,0,2007,2021,-20
"1512","New Mexico","NM",2015,0,1,0,0,0,0,0,2007,2021,8
"1513","New Mexico","NM",2019,0,1,1,0,0,0,0,2007,2021,12
"1514","New Mexico","NM",1980,0,0,0,1,0,0,0,2007,2021,-27
"1515","New Mexico","NM",2003,0,0,0,1,0,0,0,2007,2021,-4
"1516","New Mexico","NM",1992,0,0,0,1,0,0,0,2007,2021,-15
"1517","New Mexico","NM",1996,0,0,0,1,0,0,0,2007,2021,-11
"1518","New Mexico","NM",2017,0,1,0,0,0,0,0,2007,2021,10
"1519","New Mexico","NM",1988,0,0,0,1,0,0,0,2007,2021,-19
"1520","New York","NY",1990,0,0,1,0,0,0,0,2014,2021,-24
"1521","New York","NY",1999,0,0,1,0,0,0,0,2014,2021,-15
"1522","New York","NY",1996,0,0,1,0,0,0,0,2014,2021,-18
"1523","New York","NY",2019,0,1,1,0,0,0,0,2014,2021,5
"1524","New York","NY",1982,0,0,1,0,0,0,0,2014,2021,-32
"1525","New York","NY",1973,0,0,0,1,0,0,0,2014,2021,-41
"1526","New York","NY",2001,0,0,1,0,0,0,0,2014,2021,-13
"1527","New York","NY",2002,0,0,1,0,0,0,0,2014,2021,-12
"1528","New York","NY",1995,0,0,1,0,0,0,0,2014,2021,-19
"1529","New York","NY",2014,0,1,1,0,0,0,1,2014,2021,0
"1530","New York","NY",1983,0,0,1,0,0,0,0,2014,2021,-31
"1531","New York","NY",1984,0,0,1,0,0,0,0,2014,2021,-30
"1532","New York","NY",1994,0,0,1,0,0,0,0,2014,2021,-20
"1533","New York","NY",1977,0,0,1,0,0,0,0,2014,2021,-37
"1534","New York","NY",2021,1,1,1,0,0,1,0,2014,2021,7
"1535","New York","NY",1976,0,0,0,1,0,0,0,2014,2021,-38
"1536","New York","NY",2017,0,1,1,0,0,0,0,2014,2021,3
"1537","New York","NY",1989,0,0,1,0,0,0,0,2014,2021,-25
"1538","New York","NY",1978,0,0,1,0,0,0,0,2014,2021,-36
"1539","New York","NY",2020,0,1,1,0,0,0,0,2014,2021,6
"1540","New York","NY",1991,0,0,1,0,0,0,0,2014,2021,-23
"1541","New York","NY",1985,0,0,1,0,0,0,0,2014,2021,-29
"1542","New York","NY",2009,0,0,1,0,0,0,0,2014,2021,-5
"1543","New York","NY",2005,0,0,1,0,0,0,0,2014,2021,-9
"1544","New York","NY",1981,0,0,1,0,0,0,0,2014,2021,-33
"1545","New York","NY",1974,0,0,0,1,0,0,0,2014,2021,-40
"1546","New York","NY",2018,0,1,1,0,0,0,0,2014,2021,4
"1547","New York","NY",2003,0,0,1,0,0,0,0,2014,2021,-11
"1548","New York","NY",1986,0,0,1,0,0,0,0,2014,2021,-28
"1549","New York","NY",1979,0,0,1,0,0,0,0,2014,2021,-35
"1550","New York","NY",2010,0,0,1,0,0,0,0,2014,2021,-4
"1551","New York","NY",1992,0,0,1,0,0,0,0,2014,2021,-22
"1552","New York","NY",1975,0,0,0,1,0,0,0,2014,2021,-39
"1553","New York","NY",2016,0,1,1,0,0,0,0,2014,2021,2
"1554","New York","NY",2006,0,0,1,0,0,0,0,2014,2021,-8
"1555","New York","NY",2000,0,0,1,0,0,0,0,2014,2021,-14
"1556","New York","NY",1987,0,0,1,0,0,0,0,2014,2021,-27
"1557","New York","NY",2011,0,0,1,0,0,0,0,2014,2021,-3
"1558","New York","NY",2015,0,1,1,0,0,0,0,2014,2021,1
"1559","New York","NY",1988,0,0,1,0,0,0,0,2014,2021,-26
"1560","New York","NY",2004,0,0,1,0,0,0,0,2014,2021,-10
"1561","New York","NY",2007,0,0,1,0,0,0,0,2014,2021,-7
"1562","New York","NY",2008,0,0,1,0,0,0,0,2014,2021,-6
"1563","New York","NY",1997,0,0,1,0,0,0,0,2014,2021,-17
"1564","New York","NY",1998,0,0,1,0,0,0,0,2014,2021,-16
"1565","New York","NY",1993,0,0,1,0,0,0,0,2014,2021,-21
"1566","New York","NY",1980,0,0,1,0,0,0,0,2014,2021,-34
"1567","New York","NY",2013,0,0,1,0,0,0,0,2014,2021,-1
"1568","New York","NY",2012,0,0,1,0,0,0,0,2014,2021,-2
"1716","Oregon","OR",2004,0,1,1,0,1,0,0,1998,2014,6
"1717","Oregon","OR",2014,1,1,1,0,1,1,0,1998,2014,16
"1718","Oregon","OR",1995,0,0,1,0,1,0,0,1998,2014,-3
"1719","Oregon","OR",1977,0,0,1,0,1,0,0,1998,2014,-21
"1720","Oregon","OR",2000,0,1,1,0,1,0,0,1998,2014,2
"1721","Oregon","OR",2011,0,1,1,0,1,0,0,1998,2014,13
"1722","Oregon","OR",2015,1,1,1,0,1,0,0,1998,2014,17
"1723","Oregon","OR",2010,0,1,1,0,1,0,0,1998,2014,12
"1724","Oregon","OR",2002,0,1,1,0,1,0,0,1998,2014,4
"1725","Oregon","OR",1978,0,0,1,0,1,0,0,1998,2014,-20
"1726","Oregon","OR",2001,0,1,1,0,1,0,0,1998,2014,3
"1727","Oregon","OR",2009,0,1,1,0,1,0,0,1998,2014,11
"1728","Oregon","OR",1984,0,0,1,0,1,0,0,1998,2014,-14
"1729","Oregon","OR",2008,0,1,1,0,1,0,0,1998,2014,10
"1730","Oregon","OR",2012,0,1,1,0,1,0,0,1998,2014,14
"1731","Oregon","OR",1983,0,0,1,0,1,0,0,1998,2014,-15
"1732","Oregon","OR",2007,0,1,1,0,1,0,0,1998,2014,9
"1733","Oregon","OR",1980,0,0,1,0,1,0,0,1998,2014,-18
"1734","Oregon","OR",1982,0,0,1,0,1,0,0,1998,2014,-16
"1735","Oregon","OR",1999,0,1,1,0,1,0,0,1998,2014,1
"1736","Oregon","OR",1979,0,0,1,0,1,0,0,1998,2014,-19
"1737","Oregon","OR",1975,0,0,1,0,1,0,0,1998,2014,-23
"1738","Oregon","OR",1985,0,0,1,0,1,0,0,1998,2014,-13
"1739","Oregon","OR",1992,0,0,1,0,1,0,0,1998,2014,-6
"1740","Oregon","OR",2005,0,1,1,0,1,0,0,1998,2014,7
"1741","Oregon","OR",1994,0,0,1,0,1,0,0,1998,2014,-4
"1742","Oregon","OR",1998,0,1,1,0,1,0,1,1998,2014,0
"1743","Oregon","OR",1987,0,0,1,0,1,0,0,1998,2014,-11
"1744","Oregon","OR",2019,1,1,1,0,1,0,0,1998,2014,21
"1745","Oregon","OR",1997,0,0,1,0,1,0,0,1998,2014,-1
"1746","Oregon","OR",1990,0,0,1,0,1,0,0,1998,2014,-8
"1747","Oregon","OR",2003,0,1,1,0,1,0,0,1998,2014,5
"1748","Oregon","OR",1986,0,0,1,0,1,0,0,1998,2014,-12
"1749","Oregon","OR",2006,0,1,1,0,1,0,0,1998,2014,8
"1750","Oregon","OR",1989,0,0,1,0,1,0,0,1998,2014,-9
"1751","Oregon","OR",2017,1,1,1,0,1,0,0,1998,2014,19
"1752","Oregon","OR",1981,0,0,1,0,1,0,0,1998,2014,-17
"1753","Oregon","OR",1996,0,0,1,0,1,0,0,1998,2014,-2
"1754","Oregon","OR",2016,1,1,1,0,1,0,0,1998,2014,18
"1755","Oregon","OR",1974,0,0,1,0,1,0,0,1998,2014,-24
"1756","Oregon","OR",2020,1,1,1,0,1,0,0,1998,2014,22
"1757","Oregon","OR",1991,0,0,1,0,1,0,0,1998,2014,-7
"1758","Oregon","OR",1973,0,0,1,0,1,0,0,1998,2014,-25
"1759","Oregon","OR",1993,0,0,1,0,1,0,0,1998,2014,-5
"1760","Oregon","OR",1988,0,0,1,0,1,0,0,1998,2014,-10
"1761","Oregon","OR",2021,1,1,1,0,1,0,0,1998,2014,23
"1762","Oregon","OR",2013,0,1,1,0,1,0,0,1998,2014,15
"1763","Oregon","OR",2018,1,1,1,0,1,0,0,1998,2014,20
"1764","Oregon","OR",1976,0,0,1,0,1,0,0,1998,2014,-22
"1814","Rhode Island","RI",1981,0,0,0,1,0,0,0,2006,2021,-25
"1815","Rhode Island","RI",2002,0,0,0,1,0,0,0,2006,2021,-4
"1816","Rhode Island","RI",2016,0,1,1,0,0,0,0,2006,2021,10
"1817","Rhode Island","RI",1986,0,0,0,1,0,0,0,2006,2021,-20
"1818","Rhode Island","RI",1991,0,0,0,1,0,0,0,2006,2021,-15
"1819","Rhode Island","RI",1987,0,0,0,1,0,0,0,2006,2021,-19
"1820","Rhode Island","RI",2021,1,1,1,0,0,1,0,2006,2021,15
"1821","Rhode Island","RI",1980,0,0,0,1,0,0,0,2006,2021,-26
"1822","Rhode Island","RI",2003,0,0,0,1,0,0,0,2006,2021,-3
"1823","Rhode Island","RI",2004,0,0,0,1,0,0,0,2006,2021,-2
"1824","Rhode Island","RI",1997,0,0,0,1,0,0,0,2006,2021,-9
"1825","Rhode Island","RI",1989,0,0,0,1,0,0,0,2006,2021,-17
"1826","Rhode Island","RI",1983,0,0,0,1,0,0,0,2006,2021,-23
"1827","Rhode Island","RI",2009,0,1,0,0,0,0,0,2006,2021,3
"1828","Rhode Island","RI",2006,0,1,0,0,0,0,1,2006,2021,0
"1829","Rhode Island","RI",2001,0,0,0,1,0,0,0,2006,2021,-5
"1830","Rhode Island","RI",1984,0,0,0,1,0,0,0,2006,2021,-22
"1831","Rhode Island","RI",2020,0,1,1,0,0,0,0,2006,2021,14
"1832","Rhode Island","RI",2013,0,1,1,0,0,0,0,2006,2021,7
"1833","Rhode Island","RI",1994,0,0,0,1,0,0,0,2006,2021,-12
"1834","Rhode Island","RI",2019,0,1,1,0,0,0,0,2006,2021,13
"1835","Rhode Island","RI",2007,0,1,0,0,0,0,0,2006,2021,1
"1836","Rhode Island","RI",2018,0,1,1,0,0,0,0,2006,2021,12
"1837","Rhode Island","RI",1979,0,0,0,1,0,0,0,2006,2021,-27
"1838","Rhode Island","RI",2011,0,1,0,0,0,0,0,2006,2021,5
"1839","Rhode Island","RI",1993,0,0,0,1,0,0,0,2006,2021,-13
"1840","Rhode Island","RI",2015,0,1,1,0,0,0,0,2006,2021,9
"1841","Rhode Island","RI",1985,0,0,0,1,0,0,0,2006,2021,-21
"1842","Rhode Island","RI",2017,0,1,1,0,0,0,0,2006,2021,11
"1843","Rhode Island","RI",2008,0,1,0,0,0,0,0,2006,2021,2
"1844","Rhode Island","RI",1998,0,0,0,1,0,0,0,2006,2021,-8
"1845","Rhode Island","RI",1974,0,0,0,1,0,0,0,2006,2021,-32
"1846","Rhode Island","RI",1992,0,0,0,1,0,0,0,2006,2021,-14
"1847","Rhode Island","RI",1977,0,0,0,1,0,0,0,2006,2021,-29
"1848","Rhode Island","RI",2012,0,1,1,0,0,0,0,2006,2021,6
"1849","Rhode Island","RI",1973,0,0,0,1,0,0,0,2006,2021,-33
"1850","Rhode Island","RI",1978,0,0,0,1,0,0,0,2006,2021,-28
"1851","Rhode Island","RI",2010,0,1,0,0,0,0,0,2006,2021,4
"1852","Rhode Island","RI",1996,0,0,0,1,0,0,0,2006,2021,-10
"1853","Rhode Island","RI",1976,0,0,0,1,0,0,0,2006,2021,-30
"1854","Rhode Island","RI",1990,0,0,0,1,0,0,0,2006,2021,-16
"1855","Rhode Island","RI",1982,0,0,0,1,0,0,0,2006,2021,-24
"1856","Rhode Island","RI",1988,0,0,0,1,0,0,0,2006,2021,-18
"1857","Rhode Island","RI",1995,0,0,0,1,0,0,0,2006,2021,-11
"1858","Rhode Island","RI",2000,0,0,0,1,0,0,0,2006,2021,-6
"1859","Rhode Island","RI",1975,0,0,0,1,0,0,0,2006,2021,-31
"1860","Rhode Island","RI",2005,0,0,0,1,0,0,0,2006,2021,-1
"1861","Rhode Island","RI",2014,0,1,1,0,0,0,0,2006,2021,8
"1862","Rhode Island","RI",1999,0,0,0,1,0,0,0,2006,2021,-7
"2108","Vermont","VT",2012,0,1,0,0,0,0,0,2004,2018,8
"2109","Vermont","VT",1992,0,0,0,1,0,0,0,2004,2018,-12
"2110","Vermont","VT",1988,0,0,0,1,0,0,0,2004,2018,-16
"2111","Vermont","VT",2018,1,1,1,0,0,1,0,2004,2018,14
"2112","Vermont","VT",2004,0,1,0,0,0,0,1,2004,2018,0
"2113","Vermont","VT",1993,0,0,0,1,0,0,0,2004,2018,-11
"2114","Vermont","VT",2005,0,1,0,0,0,0,0,2004,2018,1
"2115","Vermont","VT",2020,1,1,1,0,0,0,0,2004,2018,16
"2116","Vermont","VT",2007,0,1,0,0,0,0,0,2004,2018,3
"2117","Vermont","VT",2017,0,1,1,0,0,0,0,2004,2018,13
"2118","Vermont","VT",1987,0,0,0,1,0,0,0,2004,2018,-17
"2119","Vermont","VT",2016,0,1,1,0,0,0,0,2004,2018,12
"2120","Vermont","VT",1978,0,0,0,1,0,0,0,2004,2018,-26
"2121","Vermont","VT",2015,0,1,1,0,0,0,0,2004,2018,11
"2122","Vermont","VT",2003,0,0,0,1,0,0,0,2004,2018,-1
"2123","Vermont","VT",2000,0,0,0,1,0,0,0,2004,2018,-4
"2124","Vermont","VT",1986,0,0,0,1,0,0,0,2004,2018,-18
"2125","Vermont","VT",2014,0,1,1,0,0,0,0,2004,2018,10
"2126","Vermont","VT",2009,0,1,0,0,0,0,0,2004,2018,5
"2127","Vermont","VT",1985,0,0,0,1,0,0,0,2004,2018,-19
"2128","Vermont","VT",2019,1,1,1,0,0,0,0,2004,2018,15
"2129","Vermont","VT",1995,0,0,0,1,0,0,0,2004,2018,-9
"2130","Vermont","VT",1982,0,0,0,1,0,0,0,2004,2018,-22
"2131","Vermont","VT",2008,0,1,0,0,0,0,0,2004,2018,4
"2132","Vermont","VT",2010,0,1,0,0,0,0,0,2004,2018,6
"2133","Vermont","VT",2011,0,1,0,0,0,0,0,2004,2018,7
"2134","Vermont","VT",1994,0,0,0,1,0,0,0,2004,2018,-10
"2135","Vermont","VT",1990,0,0,0,1,0,0,0,2004,2018,-14
"2136","Vermont","VT",1975,0,0,0,1,0,0,0,2004,2018,-29
"2137","Vermont","VT",1976,0,0,0,1,0,0,0,2004,2018,-28
"2138","Vermont","VT",2002,0,0,0,1,0,0,0,2004,2018,-2
"2139","Vermont","VT",1989,0,0,0,1,0,0,0,2004,2018,-15
"2140","Vermont","VT",1998,0,0,0,1,0,0,0,2004,2018,-6
"2141","Vermont","VT",1991,0,0,0,1,0,0,0,2004,2018,-13
"2142","Vermont","VT",1999,0,0,0,1,0,0,0,2004,2018,-5
"2143","Vermont","VT",2001,0,0,0,1,0,0,0,2004,2018,-3
"2144","Vermont","VT",1997,0,0,0,1,0,0,0,2004,2018,-7
"2145","Vermont","VT",1973,0,0,0,1,0,0,0,2004,2018,-31
"2146","Vermont","VT",1974,0,0,0,1,0,0,0,2004,2018,-30
"2147","Vermont","VT",2006,0,1,0,0,0,0,0,2004,2018,2
"2148","Vermont","VT",2013,0,1,1,0,0,0,0,2004,2018,9
"2149","Vermont","VT",2021,1,1,1,0,0,0,0,2004,2018,17
"2150","Vermont","VT",1983,0,0,0,1,0,0,0,2004,2018,-21
"2151","Vermont","VT",1996,0,0,0,1,0,0,0,2004,2018,-8
"2152","Vermont","VT",1977,0,0,0,1,0,0,0,2004,2018,-27
"2153","Vermont","VT",1981,0,0,0,1,0,0,0,2004,2018,-23
"2154","Vermont","VT",1980,0,0,0,1,0,0,0,2004,2018,-24
"2155","Vermont","VT",1979,0,0,0,1,0,0,0,2004,2018,-25
"2156","Vermont","VT",1984,0,0,0,1,0,0,0,2004,2018,-20
"2157","Virginia","VA",1986,0,0,0,1,0,0,0,2018,2021,-32
"2158","Virginia","VA",2006,0,0,0,1,0,0,0,2018,2021,-12
"2159","Virginia","VA",2013,0,0,0,1,0,0,0,2018,2021,-5
"2160","Virginia","VA",1993,0,0,0,1,0,0,0,2018,2021,-25
"2161","Virginia","VA",2018,0,1,0,0,0,0,1,2018,2021,0
"2162","Virginia","VA",2020,0,1,1,0,0,0,0,2018,2021,2
"2163","Virginia","VA",1979,0,0,0,1,0,0,0,2018,2021,-39
"2164","Virginia","VA",2005,0,0,0,1,0,0,0,2018,2021,-13
"2165","Virginia","VA",2004,0,0,0,1,0,0,0,2018,2021,-14
"2166","Virginia","VA",1987,0,0,0,1,0,0,0,2018,2021,-31
"2167","Virginia","VA",1974,0,0,0,1,0,0,0,2018,2021,-44
"2168","Virginia","VA",1976,0,0,0,1,0,0,0,2018,2021,-42
"2169","Virginia","VA",2017,0,0,0,1,0,0,0,2018,2021,-1
"2170","Virginia","VA",2003,0,0,0,1,0,0,0,2018,2021,-15
"2171","Virginia","VA",2010,0,0,0,1,0,0,0,2018,2021,-8
"2172","Virginia","VA",1992,0,0,0,1,0,0,0,2018,2021,-26
"2173","Virginia","VA",1988,0,0,0,1,0,0,0,2018,2021,-30
"2174","Virginia","VA",1989,0,0,0,1,0,0,0,2018,2021,-29
"2175","Virginia","VA",2009,0,0,0,1,0,0,0,2018,2021,-9
"2176","Virginia","VA",1998,0,0,0,1,0,0,0,2018,2021,-20
"2177","Virginia","VA",2011,0,0,0,1,0,0,0,2018,2021,-7
"2178","Virginia","VA",1994,0,0,0,1,0,0,0,2018,2021,-24
"2179","Virginia","VA",1991,0,0,0,1,0,0,0,2018,2021,-27
"2180","Virginia","VA",2007,0,0,0,1,0,0,0,2018,2021,-11
"2181","Virginia","VA",1973,0,0,0,1,0,0,0,2018,2021,-45
"2182","Virginia","VA",1975,0,0,0,1,0,0,0,2018,2021,-43
"2183","Virginia","VA",1996,0,0,0,1,0,0,0,2018,2021,-22
"2184","Virginia","VA",2021,1,1,1,0,0,1,0,2018,2021,3
"2185","Virginia","VA",2016,0,0,0,1,0,0,0,2018,2021,-2
"2186","Virginia","VA",1981,0,0,0,1,0,0,0,2018,2021,-37
"2187","Virginia","VA",2008,0,0,0,1,0,0,0,2018,2021,-10
"2188","Virginia","VA",2015,0,0,0,1,0,0,0,2018,2021,-3
"2189","Virginia","VA",1995,0,0,0,1,0,0,0,2018,2021,-23
"2190","Virginia","VA",1980,0,0,0,1,0,0,0,2018,2021,-38
"2191","Virginia","VA",2001,0,0,0,1,0,0,0,2018,2021,-17
"2192","Virginia","VA",2019,0,1,0,0,0,0,0,2018,2021,1
"2193","Virginia","VA",2014,0,0,0,1,0,0,0,2018,2021,-4
"2194","Virginia","VA",2002,0,0,0,1,0,0,0,2018,2021,-16
"2195","Virginia","VA",1999,0,0,0,1,0,0,0,2018,2021,-19
"2196","Virginia","VA",2000,0,0,0,1,0,0,0,2018,2021,-18
"2197","Virginia","VA",1983,0,0,0,1,0,0,0,2018,2021,-35
"2198","Virginia","VA",1984,0,0,0,1,0,0,0,2018,2021,-34
"2199","Virginia","VA",1978,0,0,0,1,0,0,0,2018,2021,-40
"2200","Virginia","VA",1982,0,0,0,1,0,0,0,2018,2021,-36
"2201","Virginia","VA",2012,0,0,0,1,0,0,0,2018,2021,-6
"2202","Virginia","VA",1990,0,0,0,1,0,0,0,2018,2021,-28
"2203","Virginia","VA",1985,0,0,0,1,0,0,0,2018,2021,-33
"2204","Virginia","VA",1977,0,0,0,1,0,0,0,2018,2021,-41
"2205","Virginia","VA",1997,0,0,0,1,0,0,0,2018,2021,-21
"2206","Washington","WA",1987,0,0,0,1,1,0,0,1998,2012,-11
"2207","Washington","WA",1973,0,0,0,1,1,0,0,1998,2012,-25
"2208","Washington","WA",1977,0,0,0,1,1,0,0,1998,2012,-21
"2209","Washington","WA",2019,1,1,1,0,1,0,0,1998,2012,21
"2210","Washington","WA",1988,0,0,0,1,1,0,0,1998,2012,-10
"2211","Washington","WA",2007,0,1,0,0,1,0,0,1998,2012,9
"2212","Washington","WA",1975,0,0,0,1,1,0,0,1998,2012,-23
"2213","Washington","WA",2006,0,1,0,0,1,0,0,1998,2012,8
"2214","Washington","WA",2014,1,1,1,0,1,0,0,1998,2012,16
"2215","Washington","WA",2009,0,1,0,0,1,0,0,1998,2012,11
"2216","Washington","WA",2004,0,1,0,0,1,0,0,1998,2012,6
"2217","Washington","WA",1982,0,0,0,1,1,0,0,1998,2012,-16
"2218","Washington","WA",2021,1,1,1,0,1,0,0,1998,2012,23
"2219","Washington","WA",1978,0,0,0,1,1,0,0,1998,2012,-20
"2220","Washington","WA",2017,1,1,1,0,1,0,0,1998,2012,19
"2221","Washington","WA",2011,0,1,0,0,1,0,0,1998,2012,13
"2222","Washington","WA",1974,0,0,0,1,1,0,0,1998,2012,-24
"2223","Washington","WA",2018,1,1,1,0,1,0,0,1998,2012,20
"2224","Washington","WA",1997,0,0,0,1,1,0,0,1998,2012,-1
"2225","Washington","WA",1980,0,0,0,1,1,0,0,1998,2012,-18
"2226","Washington","WA",2010,0,1,0,0,1,0,0,1998,2012,12
"2227","Washington","WA",1989,0,0,0,1,1,0,0,1998,2012,-9
"2228","Washington","WA",2016,1,1,1,0,1,0,0,1998,2012,18
"2229","Washington","WA",1992,0,0,0,1,1,0,0,1998,2012,-6
"2230","Washington","WA",1979,0,0,0,1,1,0,0,1998,2012,-19
"2231","Washington","WA",1995,0,0,0,1,1,0,0,1998,2012,-3
"2232","Washington","WA",2005,0,1,0,0,1,0,0,1998,2012,7
"2233","Washington","WA",1994,0,0,0,1,1,0,0,1998,2012,-4
"2234","Washington","WA",2008,0,1,0,0,1,0,0,1998,2012,10
"2235","Washington","WA",1981,0,0,0,1,1,0,0,1998,2012,-17
"2236","Washington","WA",1993,0,0,0,1,1,0,0,1998,2012,-5
"2237","Washington","WA",2001,0,1,0,0,1,0,0,1998,2012,3
"2238","Washington","WA",1990,0,0,0,1,1,0,0,1998,2012,-8
"2239","Washington","WA",2000,0,1,0,0,1,0,0,1998,2012,2
"2240","Washington","WA",1986,0,0,0,1,1,0,0,1998,2012,-12
"2241","Washington","WA",1976,0,0,0,1,1,0,0,1998,2012,-22
"2242","Washington","WA",1999,0,1,0,0,1,0,0,1998,2012,1
"2243","Washington","WA",2003,0,1,0,0,1,0,0,1998,2012,5
"2244","Washington","WA",1991,0,0,0,1,1,0,0,1998,2012,-7
"2245","Washington","WA",2002,0,1,0,0,1,0,0,1998,2012,4
"2246","Washington","WA",2020,1,1,1,0,1,0,0,1998,2012,22
"2247","Washington","WA",2015,1,1,1,0,1,0,0,1998,2012,17
"2248","Washington","WA",2013,1,1,1,0,1,0,0,1998,2012,15
"2249","Washington","WA",1983,0,0,0,1,1,0,0,1998,2012,-15
"2250","Washington","WA",2012,1,1,1,0,1,1,0,1998,2012,14
"2251","Washington","WA",1984,0,0,0,1,1,0,0,1998,2012,-14
"2252","Washington","WA",1998,0,1,0,0,1,0,1,1998,2012,0
"2253","Washington","WA",1996,0,0,0,1,1,0,0,1998,2012,-2
"2254","Washington","WA",1985,0,0,0,1,1,0,0,1998,2012,-13
